Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Angola,AGO,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.16902602630833,0.164612332421152,0.176116939021564,0.305046715333946,0.359216699758599,0.344433246028564,0.361663790607409,0.346715803880546,0.339920423686867,0.344578056294016,0.300800495507203,0.277974369925948,0.236780946513569,0.240909107517788,0.220144606701011,0.168099801649365,0.153094108530269,0.133967820305534,0.134330219073963,0.145173234955861,0.148170019937672,0.14683139218492,0.128236935679169,0.134884113552345,0.134370380223405,0.154683993578315,0.144091503588157,0.114982838140276,0.107301591345569,0.109504161632798,0.0930897217031407,..,..
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3283.17084264682,3315.70892012087,3091.20134167919,2330.66232463358,2336.37906790098,2654.40279083022,2968.58657619534,3133.18615405633,3210.0823089319,3220.72474626244,3285.95341568284,3388.14868776504,3782.89222467172,3839.57282705314,4223.6377872291,4835.66952233918,5364.4376625966,6056.77918748018,6615.11498323198,6471.28487887659,6586.46581926881,6700.11409977804,7389.31496018756,7643.9219442902,8123.04806537777,7274.09047477931,7027.14663413219,7216.06137267002,7043.95535982329,6882.27912260866,6367.43731675631,6523.46361278759,6973.69629889611
Antigua and Barbuda,ATG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.301289628912471,0.2894088240812,0.276056022715963,0.260243109730556,0.242297344938973,0.259157383497111,0.258624966700684,0.253160703204685,0.25546983308209,0.254209719874599,0.244381068940543,0.257915618331229,0.261682888194813,0.260399370291624,0.244218259581897,0.228024848217313,0.207355892043718,0.194532502289616,0.19495204946229,0.233138579901908,0.256692228623301,0.251149851390626,0.265210738448786,0.274914562580538,0.270443826124942,0.277019597308241,0.265818522787952,0.264151678729502,0.245577083636324,0.231387370075432,0.258152688060361,..,..
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11436.0169720724,12021.9972500658,12241.2348799217,12957.5678456873,13857.295376919,13268.7596684407,14115.1662418244,14842.2602511211,15426.1417229866,15949.0434353505,17037.3808751235,16375.8133886858,16588.607512675,17741.6586743048,19057.1694874149,20684.0318578389,23727.1192138152,26274.2613954095,26377.1557538872,23015.8744378379,21175.3833088773,20939.3312746697,20208.9392876727,19437.6169691726,19748.6253844293,19674.5632961557,20790.4191719618,20777.5594989337,22603.192865209,23880.2212735947,19839.9255890474,21958.688709215,25336.6425986007
Argentina,ARG,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.427859301008001,0.400370827842409,0.369562720025704,0.340844725007269,0.320044410421854,0.325467582916583,0.328792240642947,0.307685419571058,0.308199379487323,0.318909972217278,0.309098398743112,0.299469331026383,0.310336852519235,0.303881207332858,0.300607089537799,0.276513839985252,0.263431028788317,0.247307122050128,0.239510370829821,0.236825362388163,0.226963218591912,0.221559767294129,0.21709864035685,0.215692383279966,0.213836656948913,0.213970217723077,0.206905788655263,0.172483424864319,0.170672014396088,0.162641532884913,0.163827247694813,..,..
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7183.58382562643,7990.18800352353,8699.39508000729,9506.50543115127,10138.6816541837,9925.12989526904,10531.8458193995,11444.4740607451,11880.4806279761,11506.6988843989,11542.9860028113,11159.3299223816,9990.72022161809,10974.3241728286,12162.3374741639,13513.6702919661,14896.7335378162,16510.4482429226,17336.9328242167,16249.730130137,18063.9143432506,19322.2271236942,19641.3528638347,20131.6804246983,19683.7715056442,20105.1989918165,20307.870052142,23597.117752839,23294.0986752419,23007.8365916056,20787.857870615,23754.3613898843,26504.5905619696
Armenia,ARM,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.02422300237042,2.31180038075694,2.01900948156246,1.00015832470269,0.505744286916326,0.588114818325782,0.393971701911446,0.502070844901321,0.48611683532469,0.412295129332327,0.436890995420766,0.394328728245012,0.296978815706251,0.286322945174401,0.27171838637852,0.274145871248473,0.236419785029994,0.234716672460915,0.235349685902812,0.215988495354525,0.200764682280302,0.213861327225172,0.211650915864241,0.193034055765033,0.187434992472899,0.183201179762014,0.16120999811796,0.150555565894079,0.148623642813818,0.147174887620732,0.170473478735323,..,..
Armenia,ARM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2756.57332354643,2473.87354790732,1490.35193668474,1438.58850813848,1587.04298834687,1758.67355702797,1909.64268102564,2023.94715018545,2217.0578535948,2347.50209987159,2572.4208203298,2915.45578555773,3382.06032385789,3958.32998572176,4518.26274645491,5339.90170201023,6274.02820664947,7380.23153964858,8097.3050071749,7045.33072468128,7331.38650353822,7881.77173468477,9267.39700562965,9822.94744066856,10114.93983675,10132.318975243,10966.8533270074,12509.6396064818,13549.5224245895,14924.776928318,14105.9112525331,15661.5113451936,18941.5268080528
Aruba,ABW,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20753.5276476148,22429.2894439746,23484.2682590847,25024.8276202404,26786.1459486344,27192.7074960316,27183.8527304627,28718.5574188519,28743.5090623207,28656.0961995796,30746.6527453748,32184.2193022105,31988.303072648,32657.892379743,35653.5376737516,36264.4353728603,37365.0551941654,39080.4660076304,40059.8571454295,35169.7853529421,34230.3250904912,35780.2497425213,34786.5939932063,36932.1841636111,36846.8482853085,37343.9129633145,37583.8403229292,38865.188195117,41685.363318473,42510.0655895769,35012.3914663852,42887.3749125576,..
